x_value,total_1,total_2
0,1000,1000
1,2861,-864
2,1754,-790
3,-2077,1719
4,-7396,-2431
5,-995,-1378
6,-6294,-718
7,-6413,5149
8,-6768,7293
9,-2429,9259
10,-6529,9414
11,-7194,8908
12,-9277,5985
13,-12009,2175
14,-16954,5013
15,-13744,3718
16,-14976,9257
17,-17233,15074
18,-10187,16503
19,-15019,21421
20,-12772,18814
21,-5813,17272
22,-9305,20329
23,-9792,17203
24,-10967,14313
25,-6294,13159
26,-6641,13450
27,-6599,9205
28,-3236,10225
29,2486,9409
30,6541,5201
31,12787,9040
32,12730,5366
33,12062,7640
34,8227,8780
35,13102,11621
36,14612,11225
37,10270,16942
38,9625,12289
39,15537,12149
40,21152,17610
41,26919,16231
42,21308,19718
43,20617,15573
44,19226,13860
45,16421,13092
46,23407,10581
47,19845,7024
48,23998,6155
49,24207,4746
50,27352,2286
51,30879,3080
52,33629,4268
53,27792,1531
54,34900,5536
55,29180,2946
56,36877,-1433
57,43988,-921
58,42673,-1838
59,48043,-3861
60,47638,-1254
61,50267,-6142
62,50156,-10955
63,48705,-15058
64,50713,-18050
65,58009,-14466
66,60011,-14455
67,58739,-12743
68,61280,-8466
69,56303,-12155
70,59955,-11496
71,62606,-5551
72,58224,-4934
73,55922,882
74,54460,2453
75,53101,750
76,52068,209
77,58124,5766
78,63640,10459
79,67940,12382
80,73703,11938
81,71234,17330
82,71253,17158
83,65823,15095
84,60314,15915
85,65372,11923
86,62597,10730
87,67461,11821
88,63665,14070
89,63173,17298
90,60403,18715
91,66906,17153
92,71670,16179
93,70016,19214
94,65892,22330
95,73087,26421
96,67233,32279
97,67706,33870
98,72744,38557
99,76860,39405
100,83774,40037
101,79050,43424
102,86430,47302
103,91657,44112
104,93741,44667
105,90212,46137
106,84723,43280
107,84792,44850
108,90245,40782
109,90655,46635
110,98519,42923
111,102992,42618
112,109704,46650
113,108284,45644
114,108267,41219
115,113210,41728
116,116476,39342
117,115214,35306
118,113034,37357
119,118412,41625
120,118385,46320
121,121798,43262
122,119878,46887
123,118008,45120
124,112111,48884
125,114784,51489
126,121751,47643
127,120849,45391
128,115914,40405
129,111541,37256
130,107465,40258
131,110441,44547
132,105903,40030
133,103327,45375
134,99280,41883
135,102308,45527
136,105290,50388
137,111656,50928
138,111127,54968
139,115750,57366
140,109992,62311
141,116176,58644
142,115972,59082
143,118641,58533
144,115557,58649
145,110512,59425
146,109575,64156
147,109643,67773
148,106821,66477
149,103899,67936
150,109770,68256
151,105634,68105
152,106492,69933
153,102867,68119
154,104048,67891
155,104354,68611
156,104802,64500
157,105881,66772
158,113442,63948
159,108483,69386
160,103405,67510
161,111045,68603
162,110432,66777
163,110530,61950
164,110390,60160
165,105262,55486
166,100576,51379
167,105451,52561
168,102636,57168
169,97063,56191
170,93763,53345
171,91714,53355
172,90501,50735
173,88444,45988
174,93316,42114
175,93461,41403
176,101116,40414
177,99113,39144
178,100851,37075
179,102952,40911
180,100940,39380
181,99897,39057
182,99663,37279
183,100893,32714
184,106391,34083
185,100483,29090
186,105163,28786
187,104373,29819
188,100556,24862
189,104164,25130
190,104540,24582
191,101917,26377
192,104719,30915
193,103639,26382
194,103788,26375
195,102218,28694
196,105300,33147
197,111187,30144
198,108937,35199
199,110988,38384
200,109014,35125
201,111533,31238
202,109041,29060
203,116136,28461
204,115738,34081
205,114729,37784
206,121094,43161
207,122444,40934
208,129879,38094
209,137246,41128
210,137214,37619
211,138170,35406
212,140909,36505
213,135483,42225
214,141670,46761
215,146673,47022
216,143323,47112
217,144163,52646
218,146029,49548
219,140790,55467
220,140180,51599
221,139877,53140
222,142524,55855
223,145342,61462
224,144431,61133
225,142796,66910
226,139111,65626
227,135297,67793
228,133304,72915
229,138007,74842
230,140864,73568
231,139757,69833
232,135567,75775
233,130041,72800
234,128354,75088
235,122547,73180
236,117070,69604
237,121864,65521
238,121885,68977
239,125529,64916
240,131337,65694
241,137046,68835
242,134823,68258
243,141903,74234
244,147008,79977
245,146505,81374
246,150516,83475
247,156942,85933
248,160339,85538
249,159288,81706
250,162425,79153
251,169132,83642
252,170362,88880
253,170012,90285
254,176991,87821
255,181559,87316
256,188873,90257
257,193397,89198
258,199978,93489
259,204648,99393
260,209198,99211
261,213197,101044
262,211181,97968
263,213406,102731
264,213372,100894
265,208461,103755
266,206516,108153
267,203866,109958
268,207184,107557
269,203433,111597
270,198604,107485
271,203967,108800
272,198394,109395
273,194097,111630
274,192813,114800
275,197654,119948
276,195616,115893
277,197147,112163
278,196124,117680
279,191506,121130
280,196052,117938
281,196779,116050
282,201118,121382
283,197804,125739
284,194638,129257
285,200919,135224
286,206972,130642
287,214588,131122
288,209057,135913
289,205990,134783
290,211866,130968
291,215618,127200
292,217662,122811
293,215128,118376
294,222643,114536
295,228860,110875
296,236262,107104
297,235045,102143
298,239351,99248
299,243317,95111
300,250023,99952
301,247848,103323
302,245888,107706
303,253748,106512
304,249067,111040
305,244803,111267
306,249619,108748
307,250379,104767
308,255624,109356
309,252432,112186
310,254600,117514
311,249063,114205
312,246776,119578
313,250823,114592
314,258426,114713
315,255532,110490
316,260713,107066
317,264787,104481
318,268185,105454
319,273478,106302
320,280409,102124
321,281586,106902
322,275886,104399
323,278168,107740
324,273419,110189
325,277758,113401
326,271964,110318
327,274109,106860
328,276307,112291
329,280632,117915
330,280602,117252
331,287101,113775
332,282598,109252
333,284261,106850
334,283377,109829
335,282835,105632
336,287985,103519
337,289365,105818
338,287703,105917
339,285165,111742
340,287693,112106
341,281759,114044
342,276612,114930
343,275865,110507
344,279764,113442
345,280736,111765
346,283580,114931
347,287281,118556
348,281983,121678
349,283752,125641
350,284188,120851
351,281432,122180
352,280266,119774
353,284141,125121
354,282264,126771
355,279953,124070
356,285416,119681
357,285856,119304
358,290974,118366
359,288495,119405
360,288206,116159
361,284042,111307
362,281733,113909
363,279980,117226
364,287025,116157
365,283952,120634
366,278831,126003
367,277402,122595
368,271608,127809
369,272689,124821
370,272053,126602
371,271326,122519
372,274342,121771
373,269583,127517
374,270206,126631
375,276627,131454
376,276329,127944
377,271593,129598
378,272809,132166
379,277130,137323
380,284230,133200
381,285591,137015
382,280103,136612
383,278328,132329
384,279313,135580
385,278542,131086
386,281861,136770
387,283675,142385
388,283731,146375
389,285616,145037
390,282793,147301
391,278564,149834
392,274667,153967
393,280282,149319
394,285046,149596
395,279912,151248
396,275218,152873
397,276592,152586
398,275627,147857
399,282717,153723
400,290174,155688
401,288697,161104
402,285529,159388
403,292193,159788
404,287827,164331
405,293585,161403
406,295729,162250
407,296546,161535
408,292735,166040
409,289058,161983
410,285007,157800
411,290276,153345
412,287532,156095
413,293334,154552
414,288047,155046
415,294299,151130
416,298796,149428
417,304411,145919
418,310031,148471
419,317520,149951
420,324284,155946
421,318912,154506
422,317102,153962
423,320512,149859
424,319061,148565
425,319660,150664
426,321723,151941
427,320885,153875
428,315920,149891
429,314230,150887
430,316318,147638
431,318281,150889
432,312863,146386
433,312165,145194
434,309426,140209
435,309605,144298
436,304096,144195
437,300208,140667
438,300399,138380
439,306854,143871
440,310026,147455
441,313272,150402
442,309953,149401
443,310586,145103
444,305989,141917
445,305829,146734
446,304129,145938
447,305743,142251
448,300481,139059
449,308190,134841
450,307113,137238
451,302545,141863
452,309772,144882
453,310815,146364
454,318645,151424
455,323648,146430
456,329099,150242
457,335907,152401
458,331318,158025
459,328097,161697
460,331199,166559
461,330486,165278
462,328869,169489
463,330550,173252
464,326785,178975
465,326474,176876
466,324684,173794
467,322767,175038
468,325380,174822
469,331314,170826
470,339231,174003
471,333782,171316
472,335438,175958
473,333842,175103
474,336016,174278
475,336055,173449
476,331702,176455
477,328584,179473
478,322776,177194
479,318598,173560
480,321065,170490
481,315694,173183
482,317226,179109
483,319134,178591
484,326065,177728
485,326369,172884
486,330837,172584
487,338494,171059
488,345706,172241
489,341131,176595
490,335985,178051
491,341047,180939
492,338187,181373
493,344981,178733
494,348359,182340
495,348827,179444
496,351488,175482
497,354539,173632
498,357719,169443
499,359457,173110
500,362491,172693
501,356741,170945
502,355580,171592
503,350665,175257
504,346136,178051
505,350969,179207
506,354861,183621
507,360243,183366
508,361813,184244
509,358320,182844
510,359941,182838
511,362009,186618
512,368425,189647
513,370604,191190
514,377353,194547
515,379632,191296
516,387472,186343
517,384533,189020
518,380296,184800
519,385685,189135
520,393213,189234
521,396421,190341
522,395012,190300
523,391087,190461
524,389104,193919
525,386983,198607
526,385500,202765
527,387796,200277
528,390627,201116
529,397572,197482
530,404852,196331
531,403848,193556
532,398278,192471
533,394268,194872
534,398637,194037
535,402220,196544
536,398455,197743
537,395616,202229
538,394781,205281
539,391329,201839
540,399286,206613
541,404496,211844
542,405427,213811
543,410409,213726
544,409271,217101
545,405896,214902
546,412680,215817
547,407166,211968
548,414606,215857
549,417260,220067
550,425158,224910
551,422014,223044
552,417945,227110
553,417242,224357
554,425235,221446
555,424590,221901
556,424378,226770
557,419368,229681
558,416225,232482
559,415218,236947
560,411384,233400
561,405875,234845
562,412533,237753
563,415356,234459
564,423053,234886
565,417695,233201
566,425120,232905
567,423726,228926
568,418604,227462
569,420605,230135
570,425571,235024
571,420983,231360
572,417846,230240
573,421307,226848
574,428295,222231
575,429566,226710
576,424354,228079
577,419682,233031
578,427203,231752
579,422859,230507
580,426978,230805
581,425089,230687
582,426492,233429
583,425313,237385
584,427360,238262
585,424158,238844
586,429478,237923
587,435211,241135
588,436080,238427
589,441758,235571
590,437867,240951
591,445343,243695
592,451099,244528
593,448390,241677
594,444151,237893
595,444033,242125
596,446398,239335
597,441647,240517
598,442997,244887
599,437418,241092
600,443786,242477
601,439824,243481
602,438314,249032
603,442372,250069
604,445648,248115
605,440135,252918
606,435056,250357
607,436779,246414
608,439658,247588
609,439788,248793
610,444948,246863
611,450541,249786
612,448696,255195
613,447470,256124
614,455397,261513
615,451971,264017
616,451404,269068
617,455959,272195
618,454372,267931
619,452142,272749
620,448617,270298
621,443733,275714
622,438335,276036
623,443424,281557
624,444637,277220
625,452091,282611
626,455557,277619
627,455302,279279
628,450958,274922
629,446252,276891
630,440578,281756
631,444662,281990
632,440874,277594
633,437372,273126
634,440660,271026
635,444159,273216
636,441186,271412
637,440804,268800
638,444354,274222
639,449609,280147
640,446592,282233
641,442352,284786
642,440536,287016
643,439922,282205
644,438227,286376
645,437130,285481
646,434136,284700
647,440731,281928
648,440371,283041
649,435506,286478
650,442293,290701
651,440705,295777
652,435323,293277
653,432423,297594
654,438656,300337
655,435389,301666
656,441331,301317
657,438230,299363
658,440246,295454
659,444596,295210
660,442243,300285
661,448546,302058
662,444805,299810
663,443526,301387
664,443463,305005
665,437915,308506
666,444691,308814
667,439734,308198
668,446218,304379
669,444092,300068
670,442710,303686
671,444356,301553
672,450415,300606
673,453655,303327
674,457616,308092
